Movie,Name,Review,Score
Bloodsport,Sam,,5
Killer Klowns From Outer Space,Sam,,3
The Adventures of Buckaroo Bonsai Across the 8th Dimension,Sam,,3
Jupiter Ascending (og),Sam,,2
Wizards,Sam,,1
Air Force One,Sam,,3
Tremors,Sam,"4.5 from sam
",4
Blue Chips,Sam,"would give 3 rather than 2
",2
The Night is Short Walk On Girl,Sam,,4
Little Monsters,Sam,retroactive take score down from 4 to 3.,4
To Wong Foo Thanks for Everything! Julie Newmar,Sam,,4
The Big Chill,Sam,middle of the road film for me. He thought it was tight but then changed his mind.,3
Drib,Sam,rate movies more just on the feeling I get when the movie is done. Feel free to criticize or rate however I want. This one made me feel crazy. Movies that are memorable that people select are wild swings. I am appreciating that more and more,4
Let the Corpses Tan,Sam,it was fun im glad I watched it no hot take,3
The Quiet Man,Sam,"um. This is one my dad loves it. he wants me to like it. the more i watch it th emore I am kinda charmed by it. stupidness in it. made for me. Boxer moves to his ancestral homeland. Doesn’t do it 
2 spiked cigarettes",2
The Little Prince,Sam,"not a perfect movie. Really ejoyed. Zina and I will split. Looking forward to watching this one. Give 4 baaboa
",4
The Glimmer Man,Sam,"love this kind of movie, had a ton of fun watching it, obviously a very shitty movie, these kind of movies are very fun to talk about but, the rating for me kind of cancels out I enjoyed it. but it you, know, it sucks. 3 like bruce lee but betters",3
Masked and Anonymous,Sam,movie like this. We havent had everyone trying to talk over each other with only 5 people. Discussion 5 stars. Film 2 man eating chickens,2
There's Something About Mary,Sam,that shit makes me feel anxious and angry but it disolves everyhign like that for me sense of nostalgia watching it for am ovie ai havent actually really seen ive prolly  already given my criticism of it I was gonna go 2 but I think wathin that end credits scheen i love a good com about averyone having fun on set i think it brings something to gether for somethign that brings some thing holsesome and fun,3
Medium Raw: Night of the Wolf,Sam,iw ould rather suck a dead dogs dick than watch this movie again. Zero dimple pies may god have mercy on your souls,0
